"codename","card_codename","set_codename","en_flavor","cn_flavor","illustrator","position","quantity","released_by"
"11001","system_outage","23_seconds","","","Meg Owenson","1","3","fantasy_flight_games"
"11002","null_whistleblower","23_seconds","","","Matt Zeilinger","2","3","fantasy_flight_games"
"11003","gpi_net_tap","23_seconds","Sometimes the itsy-bitsy data is most important.","有时细小的数据最为重要。","Alexandr Elichev","3","3","fantasy_flight_games"
"11004","hernando_cortez","23_seconds","""Take it from me, there is a point where you have so much money you stop caring. That's usually right before it all comes tumbling down.""","“相信我，等你的钱多到你不在乎的时候，通常就是崩溃的前奏。”","Timur Shevtsov","4","3","fantasy_flight_games"
"11005","mirror","23_seconds","","","Kathryn Steele","5","3","fantasy_flight_games"
"11006","dai_v","23_seconds","In running, as in reality, all elements are connected.","在潜袭中，正如在现实中，所有要素环环相扣。","Adam S. Doyle","6","3","fantasy_flight_games"
"11007","another_day_another_paycheck","23_seconds","","","Caroline Gariba","7","3","fantasy_flight_games"
"11008","deuces_wild","23_seconds","","<strong>由2014年世冠赛冠军Dan D'Argenio设计</strong>","Marjorie Davis","8","3","fantasy_flight_games"
"11009","injection_attack","23_seconds","They call it ""running"" because jacking in is mentally and physically exhausting.","他们称之为“running”，因为接入使人身心俱疲。","Chris Newman","9","3","fantasy_flight_games"
"11010","fairchild_1_0","23_seconds","I foresee the end of all things...","我预见到万物的终结…","Liiga Smilshkalne","10","3","fantasy_flight_games"
"11011","sherlock_2_0","23_seconds","","","Hannah Christenson","11","3","fantasy_flight_games"
"11012","hyoubu_research_facility","23_seconds","""I'm telling you, free up the emergency accounts. Something's coming; I haven't seen a reaction like that since the tsunami. My god, the screaming...""","“你听我说，腾出应急账户。有大事要发生；大海啸之后我还没见过像这样的反应。天啊，那尖叫声…”","Marya Yartseva","12","3","fantasy_flight_games"
"11013","chrysalis","23_seconds","","","Donald Crank","13","3","fantasy_flight_games"
"11014","georgia_emelyov","23_seconds","""Your mistake is thinking that it's just business, when really it's a war.""","“你的错误在于以为这只是一场生意，但其实这是一场战争。”","Aurore Folny","14","3","fantasy_flight_games"
"11015","watchdog","23_seconds","""Person of interest. Noun. Someone who is about to get ****ed by a corp."" - Anarch's Dictionary, Volume Who's Counting","嫌疑人。名词。即将被公司给*了的人。 —反叛者的字典，谁管第几卷","Sam Guay","15","3","fantasy_flight_games"
"11016","hard_hitting_news","23_seconds","","","Sander Mosk","16","3","fantasy_flight_games"
"11017","nbn_controlling_the_message","23_seconds","","","","17","3","fantasy_flight_games"
"11018","crisis_management","23_seconds","""For the duration of the emergency"" is code for ""this is the way things are now.""","“值此非常时期”的隐义是“这就是新规则”。","Natalie Bernard","18","3","fantasy_flight_games"
"11019","stock_buy_back","23_seconds","A stock dropping sharply is bad for shareholders, but not neccessarily bad for the company.","暴跌的股票对股东不利，但对公司而言未必。","RC Torres","19","3","fantasy_flight_games"
"11020","sandburg","23_seconds","Money is power.","金钱就是力量。","Pavel Kolomeyets","20","3","fantasy_flight_games"
"02061","disrupter","a_study_in_static","""Saved my bacon more than once, but gives a wicked sense of déjà vu."" -Whizzard","“这玩意救过我不止一次，不过会造成不自在的既视感。” —魔术师","Adam S. Doyle","61","3","fantasy_flight_games"
"02062","force_of_nature","a_study_in_static","It always strikes twice.","它总是有再度劈中的奇迹。","Ed Mattinian","62","3","fantasy_flight_games"
"02063","scrubber","a_study_in_static","""They're mindless tools of destruction, good for little else. Nice guys, though. Some of my best friends are scrubbers."" -Ji ""Noise"" Reilly","“他们是搞破坏的无脑工具，其它方面几乎一无是处。尽管他们人还不错。我有一些最好的朋友就是清洗者。” —吉·“噪音”·雷利","Mike Nesbitt","63","3","fantasy_flight_games"
"02064","doppelganger","a_study_in_static","Twice the fun.","双倍的乐趣。","Howard Schechlman","64","3","fantasy_flight_games"
"02065","crescentus","a_study_in_static","Cyberspace's strongest glue.","赛博空间中最强的胶水。","Adam S. Doyle","65","3","fantasy_flight_games"
"02066","deus_x","a_study_in_static","Didn't see that coming.","如此意外。","Andrew Mar","66","3","fantasy_flight_games"
"02067","all_nighter","a_study_in_static","""I don't care what the studies show. From my experience, I can ingest three cans of Diesel an hour for up to twelve hours before going into cardiac arrest."" -heard during the eleventh hour","“我不管研究怎么说。依我的经验，我可以每小时喝掉三罐迪燃，在心脏停摆前持续工作长达十二小时。” —听闻于第十一个小时","Outland Entertainment LLC","67","3","fantasy_flight_games"
"02068","inside_man","a_study_in_static","Few corporate employees have such wide-sweeping security clearance as the janitorial staff. Most corps foolishly think they're too dim-witted to take advantage of it.","很少有公司职员能像清扫工那样拥有各处清扫的广泛安全许可。大部分公司可笑地认为清扫工们过于愚笨，不懂得如何以此为利。","Mauricio Herrera","68","3","fantasy_flight_games"
"02069","underworld_contact","a_study_in_static","""My boss rewards quality work. If you know what's good for you, you'll keep it up.""","“我的老板会嘉奖高质量的工作。如果你明白什么对你有利，你就继续好好干。”","Nate Stefan","69","3","fantasy_flight_games"
"02070","green_level_clearance","a_study_in_static","Green-two clearance is the highest level of security a corp can gain access to. Legally, anyway.","绿色二级是一个职员能获得的最高安全许可。应该说，合法获得的。","Mauricio Herrera","70","3","fantasy_flight_games"
"02071","hourglass","a_study_in_static","Time just slips away.","时间只会悄悄溜走。","JuanManuel Tumburus","71","3","fantasy_flight_games"
"02072","dedicated_server","a_study_in_static","so very still, even
cherry blossoms are not stirred
by the temple bell
-Fuhaku","寺钟不扰樱花落，
寂静又平和
—川上不白","Emilio Rodríguez","72","3","fantasy_flight_games"
"02073","bullfrog","a_study_in_static","","","Christina Davis","73","3","fantasy_flight_games"
"02074","uroboros","a_study_in_static","Where one thing ends, another begins.","一物终结之处，便是他物开始之地。","Liiga Smilshkalne","74","3","fantasy_flight_games"
"02075","net_police","a_study_in_static","This is the net. We work here. We're cops.","这就是网络。我们在此工作。我们是警察。","Amelie Hutt","75","3","fantasy_flight_games"
"02076","weyland_consortium_because_we_built_it","a_study_in_static","Constructing Cyberspace.","建设赛博空间。","","76","3","fantasy_flight_games"
"02077","government_contracts","a_study_in_static","It's really hard to lose a government contract.","政府合约是很难被破坏的。","Mitchell Malloy","77","3","fantasy_flight_games"
"02078","tyrant","a_study_in_static","Thou shall not pass.","汝不得通过。","Isuardi Therianto","78","3","fantasy_flight_games"
"02079","oversight_ai","a_study_in_static","","","Mark Anthony Taduran","79","3","fantasy_flight_games"
"02080","false_lead","a_study_in_static","It didn't look like the headquarters of a multi-billion cred company. Probably because it wasn't.","看起来它不像是一个几十亿资产公司的总部。估计是因为它真的不是。","Bruno Balixa","80","3","fantasy_flight_games"
"06081","bifrost_array","all_that_remains","""'What does it do?' Whatever I bloody want it to do."" -Director Haas","“'它能做什么？'任何我想得要命让它去做的。” —总裁哈斯","Veli Nyström","81","3","fantasy_flight_games"
"06082","sagittarius","all_that_remains","Sagittarius promised foresight, but brought only regret.","人马座许以远见，却只能招致悔念。","Dan Maynard","82","3","fantasy_flight_games"
"06083","hostile_infrastructure","all_that_remains","""If thou only knowest what it is to conquer, and knowest not what it is to be defeated; woe unto thee…"" -Tokugawa Ieyasu","“只知胜而不知败，必害其身…” —德川家康","Adam S. Doyle","83","3","fantasy_flight_games"
"06084","gemini","all_that_remains","Gemini promised pleasure, but dealt only pain.","双子座许以满足，却只能施加痛楚。","Bruno Balixa","84","3","fantasy_flight_games"
"06085","license_acquisition","all_that_remains","""We've received seventeen crates from ChiLo. We'll hit stores the same day we sign the license agreement.""","“我们已经收到了来自芝路易斯的十七箱货物。我们将在签好许可协议的当天在商店售卖。”","Crystal Ben","85","3","fantasy_flight_games"
"06086","daily_business_show","all_that_remains","""A new investment deal every morning! Grab the bull by the horns and take control of your future!""","“每天一早都会有全新的投资交易！瞄准关键并掌控你的未来！”","Gong Studios","86","3","fantasy_flight_games"
"06087","superior_cyberwalls","all_that_remains","""Our new barriers will be built on the rubble of our enemies"".","“我们的新屏障将建立在敌人的残垣上。”","Gong Studios","87","3","fantasy_flight_games"
"06088","executive_boot_camp","all_that_remains","""Do it again, but this time I want to see you to enunciate less. Maybe let some spittle fly.""","“再来一遍，但这回我希望看到你咬字模糊点。或许来点唾沫横飞。”","Gong Studios","88","3","fantasy_flight_games"
"06089","lycan","all_that_remains","""It's weird. I hit the server again and it was like a totally different piece of ice was waiting for me. Lost my root daemon. I shouldn't have nested them seven deep.""","“太诡异了。我再次袭击服务器，却好像有层全然不同的防火墙在等着我。我的根后台报销了。我真不该将它们嵌套七层之多。”","Wylie Beckert","89","3","fantasy_flight_games"
"06090","snatch_and_grab","all_that_remains","The last thing he saw was the tattoo of a strange beast on his captor's neck. It had a goat's head, the body of a lion, and the tail of a serpent. Then the bag was yanked over his head, and there was only darkness.","他最后看见的东西是捕手脖颈上异兽的纹身。它有着羊头，狮身以及蛇尾。接着他的头上就被扣了袋子，唯余一片黑暗。","Adam Schumpert","90","3","fantasy_flight_games"
"06091","merlin","all_that_remains","He who holds the staff of wisdom.","他即手执智慧魔杖之士。","Andreas Zafiratos","91","3","fantasy_flight_games"
"06092","shell_corporation","all_that_remains","","","Ralph Beisner","92","3","fantasy_flight_games"
"06093","ekomind","all_that_remains","""Sometimes you just need a brain in a jar."" -g00ru","“有时你仅需一个瓮中之脑。” —精神0袖","Lorraine Schleter","93","3","fantasy_flight_games"
"06094","cerberus_cuj_0_h3","all_that_remains","""He only likes to eat live meat."" -MaxX","“他只爱吃活食。” —麦斯X","Liiga Smilshkalne","94","3","fantasy_flight_games"
"06095","leela_patel_trained_pragmatist","all_that_remains","""I'd say I do it for the challenge, but the truth is it's not that hard.""","“我会说我做这个是为了挑战，但事实是这并不难。”","Matt Zeilinger","95","3","fantasy_flight_games"
"06096","cerberus_rex_h2","all_that_remains","""Useful for fetching all sorts of things…but you better have a treat ready if he likes it."" -Iain Stirling","“它能帮你取来各种东西…但假如它喜欢那东西，你最好有所对策。” —伊恩·斯特林","Liiga Smilshkalne","96","3","fantasy_flight_games"
"06097","zona_sul_shipping","all_that_remains","""They'll deliver anything to anywhere. Make sure to request air holes if you're shipping someone important, though.""","“他们能把任何东西送达任何地方。不过，假如你要运送某位重要人士，请务必要求提供透气孔。”","Mauricio Herrera","97","3","fantasy_flight_games"
"06098","cybsoft_macrodrive","all_that_remains","Cybsoft started by designing games. Eventually they just redesigned the same game each year, and to combat piracy created a dedicated machine to play it. Profits grew ten-fold.","数位体公司由设计游戏起家。最终他们每年只是重新设计同一款游戏，并为了打击盗版创造出一款该游戏的专用机。利润暴涨十倍。","Gong Studios","98","3","fantasy_flight_games"
"06099","cerberus_lady_h1","all_that_remains","""Its bytes are definitely worse than its bark."" -Chaos Theory","“它绝对是豆腐嘴刀子芯。” —混沌希尔瑞","Liiga Smilshkalne","99","3","fantasy_flight_games"
"06100","utopia_shard","all_that_remains","","","Seage","100","3","fantasy_flight_games"
"12061","alice_merchant_clan_agitator","blood_and_water","Jarogniew's agent provocateur.","雅罗涅夫的惹事人。","Matt Zeilinger","61","3","fantasy_flight_games"
"12062","jarogniew_mercs","blood_and_water","","","Aurore Folny","62","3","fantasy_flight_games"
"12063","maui","blood_and_water","","","Matt Bradbury","63","3","fantasy_flight_games"
"12064","bug_out_bag","blood_and_water","Everything you need in case of an emergency.","","Del Borovic","64","3","fantasy_flight_games"
"12065","keros_mcintyre","blood_and_water","""I don't bother asking why anymore—he never says—but if I had to guess, it's because he's embezzling and using my runs to disguise it. Not that I care. His credit spends as well as the next guy's"" -Moth","","Jan-Wah Li","65","3","fantasy_flight_games"
"12066","daredevil","blood_and_water","""Taking risks is what makes it fun!"" -Kabonesa Wu","","Ed Mattinian","66","3","fantasy_flight_games"
"12067","mass_driver","blood_and_water","","","Alexandr Elichev","67","3","fantasy_flight_games"
"12068","warroid_tracker","blood_and_water","","","Micah Epstein","68","3","fantasy_flight_games"
"12069","loki","blood_and_water","","","Andreas Zafiratos","69","3","fantasy_flight_games"
"12070","obokata_protocol","blood_and_water","""Proper application of stress can create the most profound changes."" - Tennin Institute Intern Brief","“善用压力能引起最深刻的变革。” —天人学会实习指示","Jan-Wah Li","70","3","fantasy_flight_games"
"12071","miraju","blood_and_water","","","Alexander Tooth","71","3","fantasy_flight_games"
"12072","shipment_from_tennin","blood_and_water","","","Jan-Wah Li","72","3","fantasy_flight_games"
"12073","escalate_vitriol","blood_and_water","""Of course words hurt."" -Bex Gleeson","","Timur Shevtsov","73","3","fantasy_flight_games"
"12074","reeducation","blood_and_water","","","Wenjuinn Png","74","3","fantasy_flight_games"
"12075","traffic_analyzer","blood_and_water","""It's all about M.E. Monetizing Everything."" -Eryn Nielle","","Tim Durning","75","3","fantasy_flight_games"
"12076","meteor_mining","blood_and_water","""I've got a rock!"" - Charles ""Mad Dog"" Brun, Comet Jockey","“我得到了一块石头！” —查尔斯·“狂犬”·布朗，彗星骑师","Mark Molnar","76","3","fantasy_flight_games"
"12077","standoff","blood_and_water","","","Ed Mattinian","77","3","fantasy_flight_games"
"12078","success","blood_and_water","The difference between surviving and thriving is successful terraforming.","","Mark Molnar","78","3","fantasy_flight_games"
"12079","whampoa_reclamation","blood_and_water","""Whampoa is the largest and meanest Earth-based mining concern on Mars. They put bodies and waste in the ground as fast as they pull minerals out."" - Alice Merchant","“黄埔是火星上最大和最刻薄的矿业地企。他们用尸体与废品回填的速度和开采一样快。” —爱丽丝·默切特","James Ives","79","3","fantasy_flight_games"
"12080","mass_commercialization","blood_and_water","","","Mark Molnar","80","3","fantasy_flight_games"
"11021","credit_crash","blood_money","","","Jenn Tran","21","3","fantasy_flight_games"
"11022","rumor_mill","blood_money","""You can have a lot of fun in 23 seconds."" -Princess Space Kitten","“二十三秒乐趣多。” —太空喵公主","Tim Durning","22","3","fantasy_flight_games"
"11023","nfr","blood_money","Balance out the equation.","等式平衡。","Mariusz Siergiejew","23","3","fantasy_flight_games"
"11024","paperclip","blood_money","""It is not wise to call someone crazy until you fully understand what they're trying to say."" -Omar Keung","“在充分理解其想说的内容之前，叫别人疯子是不明智的。” —奥马尔·姜","Adam S. Doyle","24","3","fantasy_flight_games"
"11025","golden","blood_money","The program was as close to a hunting raptor as she could afford...for now.","这程序就像只猎禽，只要她负担得起…目前如此。","Liiga Smilshkalne","25","3","fantasy_flight_games"
"11026","temujin_contract","blood_money","""The best part is, it's legal!"" -Khan","“最好的一点是，它合法！” —可汗","Timur Shevtsov","26","3","fantasy_flight_games"
"11027","khan_savvy_skiptracer","blood_money","","","Matt Zeilinger","27","3","fantasy_flight_games"
