"codename","en_name","format_codename","cycle_codenames","set_codenames"
"eternal","Eternal","eternal","[""ashes"", ""borealis"", ""core_set"", ""creation_and_control"", ""data_and_destiny"", ""flashpoint"", ""genesis"", ""honor_and_profit"", ""kitara"", ""lunar"", ""magnum_opus"", ""magnum_opus_reprint"", ""mumbad"", ""napd_multiplayer"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""revised_core_set"", ""salvaged_memories"", ""sansan"", ""spin"", ""system_core_2019"", ""system_gateway"", ""system_update_2021""]","[""23_seconds"", ""a_study_in_static"", ""all_that_remains"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""core_set"", ""council_of_the_crest"", ""creation_and_control"", ""crimson_dust"", ""cyber_exodus"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""double_time"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""fear_and_loathing"", ""fear_the_masses"", ""first_contact"", ""free_mars"", ""future_proof"", ""honor_and_profit"", ""humanitys_shadow"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""mala_tempora"", ""martial_law"", ""midnight_sun"", ""midnight_sun_booster_pack"", ""napd_multiplayer"", ""old_hollywood"", ""opening_moves"", ""order_and_chaos"", ""parhelion"", ""quorum"", ""reign_and_reverie"", ""revised_core_set"", ""salsette_island"", ""salvaged_memories"", ""second_thoughts"", ""sovereign_sight"", ""station_one"", ""system_core_2019"", ""system_gateway"", ""system_update_2021"", ""terminal_directive_cards"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_source"", ""the_spaces_between"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""trace_amount"", ""true_colors"", ""up_and_over"", ""uprising"", ""uprising_booster_pack"", ""upstalk"", ""what_lies_ahead"", ""whispers_in_nalubaale""]"
"ram_0","RAM 0","ram","","[""business_first"", ""chrome_city"", ""core_set"", ""daedalus_complex"", ""double_time"", ""downfall"", ""escalation"", ""humanitys_shadow"", ""mala_tempora"", ""martial_law"", ""quorum"", ""system_gateway"", ""up_and_over"", ""upstalk""]"
"ram_1","RAM 1","ram","","[""creation_and_control"", ""daedalus_complex"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""fear_and_loathing"", ""honor_and_profit"", ""kampala_ascendent"", ""martial_law"", ""quorum"", ""up_and_over"", ""what_lies_ahead"", ""whispers_in_nalubaale""]"
"ram_2","RAM 2","ram","","[""all_that_remains"", ""blood_and_water"", ""breaker_bay"", ""chrome_city"", ""core_set"", ""humanitys_shadow"", ""intervention"", ""opening_moves"", ""revised_core_set"", ""the_devil_and_the_dragon"", ""the_underway"", ""the_universe_of_tomorrow"", ""trace_amount"", ""uprising""]"
"ram_3","RAM 3","ram","","[""a_study_in_static"", ""business_first"", ""creation_and_control"", ""crimson_dust"", ""fear_the_masses"", ""first_contact"", ""mala_tempora"", ""old_hollywood"", ""quorum"", ""reign_and_reverie"", ""sovereign_sight"", ""the_liberated_mind"", ""true_colors"", ""upstalk""]"
"ram_4","RAM 4","ram","","[""blood_and_water"", ""council_of_the_crest"", ""cyber_exodus"", ""daedalus_complex"", ""data_and_destiny"", ""fear_and_loathing"", ""honor_and_profit"", ""kala_ghoda"", ""magnum_opus_reprint"", ""martial_law"", ""salvaged_memories"", ""second_thoughts"", ""the_valley"", ""up_and_over""]"
"ram_5","RAM 5","ram","","[""23_seconds"", ""all_that_remains"", ""core_set"", ""future_proof"", ""mala_tempora"", ""old_hollywood"", ""reign_and_reverie"", ""salsette_island"", ""station_one"", ""the_devil_and_the_dragon"", ""the_source"", ""the_underway"", ""upstalk"", ""what_lies_ahead""]"
"ram_6","RAM 6","ram","","[""chrome_city"", ""data_and_destiny"", ""double_time"", ""earths_scion"", ""fear_and_loathing"", ""intervention"", ""kala_ghoda"", ""quorum"", ""salvaged_memories"", ""second_thoughts"", ""sovereign_sight"", ""system_gateway"", ""up_and_over"", ""whispers_in_nalubaale""]"
"ram_7","RAM 7","ram","","[""all_that_remains"", ""creation_and_control"", ""daedalus_complex"", ""fear_the_masses"", ""magnum_opus_reprint"", ""opening_moves"", ""quorum"", ""revised_core_set"", ""salsette_island"", ""salvaged_memories"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""up_and_over"", ""upstalk""]"
"snapshot","Snapshot","snapshot","[""creation_and_control"", ""data_and_destiny"", ""flashpoint"", ""honor_and_profit"", ""kitara"", ""lunar"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""revised_core_set"", ""sansan""]","[""23_seconds"", ""all_that_remains"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""council_of_the_crest"", ""creation_and_control"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""down_the_white_nile"", ""earths_scion"", ""escalation"", ""fear_the_masses"", ""first_contact"", ""free_mars"", ""honor_and_profit"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""martial_law"", ""old_hollywood"", ""order_and_chaos"", ""quorum"", ""reign_and_reverie"", ""revised_core_set"", ""salsette_island"", ""sovereign_sight"", ""station_one"", ""terminal_directive_cards"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_source"", ""the_spaces_between"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""up_and_over"", ""upstalk"", ""whispers_in_nalubaale""]"
